학반,(월),,,,,,,,|,(화),,,,,,,,|,(수),,,,,,,,|,(목),,,,,,,,|,(금),,,,,,,,|,(토),,,,,,,,|,
학반,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,|,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,|,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,|,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,|,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,|,1교시,2교시,3교시,4교시,5교시,6교시,7교시,8교시,|,
==================================================================
=T("1-1"),국사,cp,수재,수학,체육,미술,기1,,|,국재,인성,지리,음악,국어,수학,영어,,|,국어,영어,과1,도덕,국사,체육,생2,,|,국어,수학,영재,기2,과2,영어,과3,,|,지리,일사,영어,국어,생1,기3,수학,,|,,,,,,,,,|,
=T("1-2"),지리,cp,생2,수학,과3,일사,국어,,|,국사,도덕,체육,국어,과2,수학,영어,,|,국사,영어,과1,국어,기2,지리,수재,,|,영재,수학,미술,음악,체육,영어,인성,,|,생1,국재,영어,기3,기1,국어,수학,,|,,,,,,,,,|,
=T("1-3"),영재,cp,지리,수학,국사,국어,도덕,,|,과2,국어,기2,과3,생2,수학,영어,,|,국재,영어,기3,인성,체육,미술,국어,,|,수재,수학,국어,일사,생1,영어,지리,,|,과1,국사,영어,기1,음악,체육,수학,,|,,,,,,,,,|,
=T("1-4"),국어,cp,과1,수학,기1,국사,생1,,|,도덕,일사,기3,체육,기2,수학,영어,,|,지리,영재,국어,미술,영어,과2,음악,,|,인성,수학,수재,국사,국어,영어,국재,,|,국어,생2,영어,체육,지리,과3,수학,,|,,,,,,,,,|,
=T("1-5"),수재,cp,기3,영어,국어,수학,생2,,|,지리,수학,국어,국사,체육,영어,인성,,|,도덕,기1,수학,음악,국재,국사,지리,,|,기2,영어,체육,과1,과3,국어,영재,,|,과2,미술,생1,국어,수학,일사,영어,,|,,,,,,,,,|,
=T("1-6"),도덕,cp,국어,영어,기3,수학,과3,,|,일사,수학,국사,과1,영재,영어,체육,,|,국어,지리,수학,생2,수재,생1,국재,,|,국어,영어,기2,과2,미술,기1,국사,,|,국어,체육,음악,지리,수학,인성,영어,,|,,,,,,,,,|,
=T("1-7"),기3,cp,체육,영어,음악,수학,국어,,|,기1,수학,지리,생1,국어,영어,수재,,|,영재,국사,수학,국어,미술,기2,인성,,|,과1,영어,국어,생2,국재,일사,지리,,|,과3,도덕,체육,과2,수학,국사,영어,,|,,,,,,,,,|,
=T("1-8"),국어,cp,지리,영어,일사,수학,체육,,|,생2,수학,과3,기1,미술,영어,국어,,|,생1,국어,수학,과2,국사,영재,도덕,,|,지리,영어,수재,체육,기3,기2,과1,,|,음악,국사,국어,인성,수학,국재,영어,,|,,,,,,,,,|,
