(월)
=T("3-8"),정보,지1,체육,근현,수2,한문,영재2,
=T("3-9"),정보,체육,근현,환경,수2,한문,영재2,
=T("3-10"),영2,수2,화2,작문,생2,근현,환경,
=T("3-11"),환경,수2,정보,윤리,영2,작문,근현,
=T("3-12"),근현,수2,영2,생2,체육,화2,정보,
=T("3-13"),화2,영2,수2,체육,정보,작문,물2,
=T("3-14"),영2,정보,수2,화2,환경,근현,윤리,
=T("3-15"),작문,근현,수2,영2,한문,이수,이수,

(수)
학년-반, 1교시, 2교시, 3교시, 4교시, 5교시, 6교시, 7교시, 8교시
===============================================================
=T("1-1"),국어,영어,과1,도덕,국사,체육,생2,
=T("1-2"),국사,영어,과1,국어,기2,지리,수재,
=T("1-3"),국재,영어,기3,인성,체육,미술,국어,
=T("1-4"),지리,영재,국어,미술,영어,과2,음악,
=T("1-5"),도덕,기1,수학,음악,국재,국사,지리,
=T("1-6"),국어,지리,수학,생2,수재,생1,국재,
=T("1-7"),영재,국사,수학,국어,미술,기2,인성,
=T("1-8"),생1,국어,수학,과2,국사,영재,도덕,
=T("1-9"),지리,인성,영어,체육,기3,국어,수학,
=T("1-10"),수재,미술,영어,과1,생1,과3,수학,
=T("1-11"),국사,음악,영어,국어,생2,지리,수학,
=T("1-12"),생2,국어,영어,과3,인성,음악,수학,
=T("1-13"),국어,수학,생1,일사,수재,기3,영재,
=T("1-14"),기2,수학,체육,영재,기1,도덕,영어,
=T("1-15"),국어,수학,과3,체육,수재,국사,영어,
=T("1-16"),기1,수학,국사,지리,영재,국어,영어,
=T("1-17"),과1,수학,국재,국어,영재,체육,영어,
=T("2-1"),수1,정보,사문,문학,영1,경제,중1,
=T("2-2"),문법,경제,중1,사문,영1,수1,회화,
=T("2-3"),불1,회화,정보,경제,영1,사문,문법,
=T("2-4"),사문,문학,근현,문법,영1,정보,회화,
=T("2-5"),사문,수1,영1,문학,근현,윤리,회화,
=T("2-6"),윤리,문법,영1,수1,불1,사문,문학,
=T("2-7"),문학,근현,영1,회화,체육,불1,수1,
=T("2-8"),회화,수1,영1,물1,수1,화1,생1,
=T("2-9"),지1,영1,수1,중1,문학,물1,미적,
=T("2-10"),중1,영1,생1,화1,수1,체육,문학,
=T("2-11"),생1,영1,체육,문학,수1,지1,화1,
=T("2-12"),지1,영1,수1,체육,생1,불1,물1,
=T("2-13"),생1,체육,수1,회화,문학,물1,불1,
=T("2-14"),화1,수1,물1,문학,체육,회화,미적,
=T("2-15"),문학,수1,불1,물1,생1,미적,지1,
=T("2-16"),불1,수1,회화,지1,화1,체육,문학,
=T("3-1"),실수,지1,한문,한지,영2,작문,환경,
=T("3-2"),영2,한지,환경,세사,한문,독해,실수,
=T("3-3"),환경,영2,세사,지1,종교,종교,실수,
=T("3-4"),한지,정치,작문,생1,환경,중2,독해,
=T("3-5"),실수,영2,체육,정치,중2,한지,작문,
=T("3-6"),실수,철학,철학,체육,정치,영2,한지,
=T("3-7"),화2,근현,작문,영재2,체육,윤리,지1,
=T("3-8"),영2,정보,환경,작문,근현,한문,화2,
=T("3-9"),생2,화2,작문,윤리,영2,근현,정보,
=T("3-10"),작문,화2,근현,정보,환경,영2,윤리,
=T("3-11"),영2,생2,체육,작문,근현,정보,한문,
=T("3-12"),작문,영2,근현,한문,화2,환경,생2,
=T("3-13"),근현,윤리,작문,수2,한문,영재2,화2,
=T("3-14"),물2,정보,영2,수2,체육,근현,작문,
=T("3-15"),환경,한문,물2,수2,영2,근현,작문,

(목)
학년-반, 1교시, 2교시, 3교시, 4교시, 5교시, 6교시, 7교시, 8교시
===============================================================
=T("1-1"),국어,수학,영재,기2,과2,영어,과3,
=T("1-2"),영재,수학,미술,음악,체육,영어,인성,
=T("1-3"),수재,수학,국어,일사,생1,영어,지리,
=T("1-4"),인성,수학,수재,국사,국어,영어,국재,
=T("1-5"),기2,영어,체육,과1,과3,국어,영재,
=T("1-6"),국어,영어,기2,과2,미술,기1,국사,
=T("1-7"),과1,영어,국어,생2,국재,일사,지리,
=T("1-8"),지리,영어,수재,체육,기3,기2,과1,
=T("1-9"),기1,과1,국사,국어,수학,체육,일사,
=T("1-10"),국사,과2,도덕,국어,수학,지리,체육,
=T("1-11"),과3,지리,기3,도덕,수학,미술,국어,
=T("1-12"),기3,생1,체육,과1,수학,국어,지리,
=T("1-13"),국어,체육,국재,과3,영어,수학,음악,
=T("1-14"),국재,인성,국어,생1,영어,수재,국사,
=T("1-15"),생2,국사,지리,일사,영어,수학,국어,
=T("1-16"),생1,생2,음악,체육,영어,수학,과1,
=T("1-17"),음악,국어,기1,인성,영어,수재,기3,
=T("2-1"),사문,체육,경제,수1,회화,문학,윤리,
=T("2-2"),경제,중1,회화,정보,문학,수1,문법,
=T("2-3"),수1,문학,체육,사문,불1,윤리,경제,
=T("2-4"),문학,사문,수1,윤리,문법,근현,중1,
=T("2-5"),근현,문학,문법,중1,사문,회화,수1,
=T("2-6"),문학,문법,회화,근현,정보,사문,체육,
=T("2-7"),문법,사문,불1,회화,수1,체육,정보,
=T("2-8"),수1,지1,회화,문학,화1,물1,미적,
=T("2-9"),회화,화1,생1,수1,중1,문학,지1,
=T("2-10"),물1,미적,화1,생1,지1,수1,회화,
=T("2-11"),생1,중1,회화,물1,체육,수1,지1,
=T("2-12"),불1,회화,물1,체육,수1,문학,화1,
=T("2-13"),미적,영1,지1,불1,수1,회화,생1,
=T("2-14"),생1,영1,수1,지1,회화,물1,문학,
=T("2-15"),문학,영1,수1,생1,체육,불1,화1,
=T("2-16"),지1,영1,수1,문학,미적,화1,물1,
=T("3-1"),중2,영2,세사,한지,종교,종교,작문,
=T("3-2"),한지,세사,작문,독해,중2,체육,한문,
=T("3-3"),한지,작문,지1,환경,체육,독해,영2,
=T("3-4"),철학,철학,실수,정치,작문,영2,한지,
=T("3-5"),작문,체육,영2,독해,환경,생1,중2,
=T("3-6"),환경,작문,정치,한지,한문,생1,불2,
=T("3-7"),정보,수2,체육,한문,작문,영2,지1,
=T("3-8"),화2,수2,근현,영2,윤리,작문,환경,
=T("3-9"),영2,수2,작문,생2,체육,정보,윤리,
=T("3-10"),근현,생2,체육,영재2,수2,작문,영2,
=T("3-11"),근현,작문,영재2,환경,수2,화2,한문,
=T("3-12"),작문,정보,화2,영2,수2,한문,생2,
=T("3-13"),화2,환경,영2,물2,근현,수2,작문,
=T("3-14"),윤리,영재2,한문,근현,작문,수2,정보,
=T("3-15"),정보,물2,윤리,화2,근현,수2,영2,

(금)
학년-반, 1교시, 2교시, 3교시, 4교시, 5교시, 6교시, 7교시, 8교시
===============================================================
=T("1-1"),지리,일사,영어,국어,생1,기3,수학,
=T("1-2"),생1,국재,영어,기3,기1,국어,수학,
=T("1-3"),과1,국사,영어,기1,음악,체육,수학,
=T("1-4"),국어,생2,영어,체육,지리,과3,수학,
=T("1-5"),과2,미술,생1,국어,수학,일사,영어,
=T("1-6"),국어,체육,음악,지리,수학,인성,영어,
=T("1-7"),과3,도덕,체육,과2,수학,국사,영어,
=T("1-8"),음악,국사,국어,인성,수학,국재,영어,
=T("1-9"),영재,수학,과3,기2,영어,생2,국어,
=T("1-10"),기1,수학,생2,영재,영어,국어,지리,
=T("1-11"),국어,수학,과1,국재,영어,체육,인성,
=T("1-12"),국사,수학,체육,수재,영어,일사,지리,
=T("1-13"),국사,영어,수학,지리,생2,과2,국어,
=T("1-14"),일사,영어,수학,국어,미술,음악,기3,
=T("1-15"),기2,영어,수학,도덕,국어,미술,영재,
=T("1-16"),인성,영어,수학,미술,국사,기2,국어,
=T("1-17"),국어,영어,수학,체육,지리,도덕,국사,
=T("2-1"),수1,문법,영1,사문,문학,회화,경제,
=T("2-2"),중1,수1,영1,체육,경제,사문,문학,
=T("2-3"),경제,윤리,영1,문학,체육,수1,정보,
=T("2-4"),문학,체육,영1,회화,사문,수1,문법,
=T("2-5"),사문,영1,근현,정보,문법,중1,체육,
=T("2-6"),사문,영1,수1,문학,근현,회화,불1,
=T("2-7"),문법,영1,사문,윤리,수1,근현,문학,
=T("2-8"),수1,영1,지1,수1,중1,문학,회화,
=T("2-9"),화1,수1,문학,물1,영1,생1,수1,
=T("2-10"),생1,문학,수1,중1,영1,회화,물1,
=T("2-11"),중1,문학,수1,지1,영1,회화,물1,
=T("2-12"),회화,수1,생1,화1,영1,미적,문학,
=T("2-13"),문학,수1,불1,물1,체육,미적,화1,
=T("2-14"),지1,회화,문학,생1,수1,불1,화1,
=T("2-15"),생1,화1,물1,회화,수1,미적,지1,
=T("2-16"),불1,물1,체육,화1,수1,문학,생1,
=T("3-1"),영2,한지,중2,세사,체육,지1,독해,
=T("3-2"),지1,작문,환경,체육,실수,영2,중2,
=T("3-3"),작문,세사,한지,불2,실수,체육,지1,
=T("3-4"),한지,영2,생1,작문,실수,한문,정치,
=T("3-5"),정치,한문,작문,환경,한지,영2,독해,
